,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
13313,PPL,,ENSG00000118898,Periplakin,O60437,16,4882507-4960741,"Plasma proteins, Predicted intracellular proteins",Keratinization,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,esophagus: 707.7;vagina: 279.9,Cell type enhanced,Detected in many,,Alveolar cells type 1: 126.5;Salivary duct cells: 99.7;Squamous epithelial cells: 161.6;Suprabasal keratinocytes: 363.2,Cell type enhanced,Detected in many,,ependymal cell: 33.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Cancer enhanced,Detected in many,,Gallbladder cancer: 108.1,"Adipose visceral - Mesothelial cells, Adrenal gland - Adrenal cortex cells, Skeletal muscle - Macrophages",Not detected,Not detected,,,Low region specificity,Detected in many,,,"HPA042550, HPA059859",Enhanced,,Uncertain,"Nucleoplasm,Plasma membrane,Basal body,Cytosol",,,,,,140000.0,,Cluster 27: Squamous epithelium - Keratinization,Cluster 51: Neurons - Mixed function,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 59: Suprabasal keratinocytes - Cornification,64.0,"Plasma membrane, Basal body, Cytosol",Nucleoplasm,"HPA042550: AB_2678048, HPA059859: AB_2684145",unprognostic (4.78e-2),unprognostic (2.45e-1),unprognostic (2.30e-1),unprognostic (2.17e-1),unprognostic (8.80e-2),unprognostic (2.84e-1),unprognostic (1.16e-2),,unprognostic (2.62e-1),unprognostic (2.52e-1),unprognostic (6.06e-2),unprognostic (2.54e-1),unprognostic (9.87e-3),unprognostic (7.63e-3),unprognostic (3.07e-2),unprognostic (1.58e-1),unprognostic (4.43e-2),unprognostic (3.21e-1),unprognostic (1.09e-1),unprognostic (7.41e-4),unprognostic (2.30e-2),unprognostic (5.92e-2),unprognostic (2.00e-3),unprognostic (2.52e-1),unprognostic (1.08e-2),unprognostic (3.62e-1),unprognostic (1.60e-1),unprognostic (5.43e-2),unprognostic (8.46e-2),unprognostic (1.21e-1),unprognostic (9.38e-2),2,2,10
8450,ITGB1,"CD29, FNRB, GPIIA, MDF2, MSK12",ENSG00000150093,Integrin subunit beta 1,P05556,10,32887273-33005792,"Cancer-related genes, CD markers, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Cell adhesion, Host-virus interaction, Myogenesis","Host cell receptor for virus entry, Integrin, Receptor","Cancer-related genes, FDA approved drug targets",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Ductal cells: 1089.9,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Colon - Smooth muscle cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"CAB003434, HPA059297, HPA069003",Enhanced,,Supported,"Endoplasmic reticulum,Plasma membrane,Focal adhesion sites",,,,,,180000000.0,Cluster 16: Non-specific - Cell proliferation,Cluster 62: Connective tissue - ECM organization,Cluster 47: Endothelial cells - Vasculature,Cluster 15: Kidney cancer - Membrane components,Cluster 45: Non-specific - Mixed function,92.0,"Plasma membrane, Focal adhesion sites",Endoplasmic reticulum,"CAB003434: AB_303570, HPA059297: AB_2732634, HPA069003: AB_2732125",unprognostic (8.59e-2),unprognostic (5.85e-2),unprognostic (3.13e-1),unprognostic (6.35e-3),unprognostic (2.61e-1),unprognostic (5.47e-2),unprognostic (4.53e-2),unprognostic (3.49e-2),unprognostic (5.14e-3),unprognostic (5.41e-3),unprognostic (5.46e-4),unprognostic (1.37e-1),unprognostic (2.60e-2),unprognostic (2.06e-3),unprognostic (9.64e-2),unprognostic (5.22e-6),unprognostic (3.56e-4),unprognostic (1.25e-4),unprognostic (2.00e-2),unprognostic (7.46e-3),unprognostic (1.35e-4),unprognostic (1.55e-3),unprognostic (2.35e-2),unprognostic (2.13e-1),unprognostic (3.75e-1),unprognostic (1.07e-1),unprognostic (2.45e-1),unprognostic (4.18e-3),unprognostic (3.24e-1),unprognostic (1.37e-1),unprognostic (2.52e-1),2,2,10
6940,GPR183,EBI2,ENSG00000169508,G protein-coupled receptor 183,P32249,13,99294539-99307399,"G-protein coupled receptors, Predicted membrane proteins, Transporters","Adaptive immunity, Immunity","G-protein coupled receptor, Receptor, Transducer",,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 111.2;lymphoid tissue: 82.2,Cell type enhanced,Detected in many,,dendritic cells: 4011.2;Langerhans cells: 3287.6;Macrophages: 936.4;monocytes: 866.8;Schwann cells: 952.0,Group enriched,Detected in many,38.0,central nervous system macrophage: 216.7;leukocyte: 58.1,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in all,,basophil: 1054.3,Low lineage specificity,Detected in all,,,Cancer enhanced,Detected in some,,Leukemia: 14.9;lymphoma: 23.7;thyroid cancer: 22.6,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Spleen - B-cells (Spleen), Thyroid gland - T-cells",Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,"CAB033690, HPA075590",Approved,,Supported,"Nucleoplasm,Plasma membrane",,,,,,,Cluster 5: Non-specific - Cell proliferation,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,Cluster 20: Macrophages & Microglia - Immune response,Cluster 55: Lymphoma - Immune response,Cluster 28: Dendritic cells - Antigen presentation,7.0,Plasma membrane,Nucleoplasm,"CAB033690: AB_2114269, HPA075590: ",unprognostic (8.64e-2),unprognostic (9.21e-3),unprognostic (1.70e-1),unprognostic (3.55e-3),unprognostic (8.41e-2),unprognostic (7.03e-2),unprognostic (1.35e-1),unprognostic (1.54e-1),unprognostic (3.42e-2),unprognostic (1.62e-1),unprognostic (2.68e-1),unprognostic (2.54e-1),unprognostic (1.45e-1),unprognostic (1.20e-1),unprognostic (1.29e-2),unprognostic (6.62e-3),unprognostic (1.44e-1),unprognostic (7.75e-2),unprognostic (2.08e-2),unprognostic (3.83e-2),unprognostic (1.53e-1),unprognostic (9.18e-2),unprognostic (4.39e-1),unprognostic (2.81e-1),unprognostic (1.51e-1),unprognostic (3.38e-3),unprognostic (2.46e-1),unprognostic (6.42e-3),unprognostic (2.21e-3),unprognostic (2.52e-3),unprognostic (2.76e-1),2,2,10
16711,STX4,"p35-2, STX4A",ENSG00000103496,Syntaxin 4,Q12846,16,31032889-31042975,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","Hearing, Neurotransmitter transport, Transport",,"Deafness, Non-syndromic deafness",Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Langerhans cells: 169.5,Cell type enhanced,Detected in all,,committed oligodendrocyte precursor: 65.4,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA001330,Approved,,Approved,Plasma membrane,,,,,,,Cluster 36: Eosinophils - Protein ubiquitination,Cluster 47: Spleen - Immune response,Cluster 45: Non-specific - Mixed function,Cluster 54: Non-specific - Transcription,Cluster 58: Macrophages - Innate immune response,99.0,Plasma membrane,,HPA001330: AB_1080167,unprognostic (3.25e-1),unprognostic (1.17e-2),unprognostic (9.87e-4),unprognostic (1.31e-2),unprognostic (1.97e-1),unprognostic (2.72e-1),unprognostic (8.28e-2),unprognostic (2.36e-1),unprognostic (2.48e-1),unprognostic (1.60e-1),unprognostic (1.72e-1),unprognostic (3.76e-1),unprognostic (4.38e-2),unprognostic (5.45e-3),unprognostic (9.50e-3),unprognostic (1.28e-1),unprognostic (4.17e-3),unprognostic (3.73e-1),unprognostic (2.71e-2),unprognostic (8.19e-2),unprognostic (5.95e-2),unprognostic (6.21e-3),unprognostic (3.49e-1),unprognostic (2.03e-1),unprognostic (8.95e-2),unprognostic (1.17e-1),unprognostic (9.78e-3),unprognostic (2.60e-1),unprognostic (2.74e-2),unprognostic (2.20e-1),unprognostic (1.70e-1),2,2,10
6159,FNBP1,"FBP17, KIAA0554",ENSG00000187239,Formin binding protein 1,Q96RU3,9,129887187-130043189,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Endocytosis,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,lymphoid tissue: 106.5,Cell type enhanced,Detected in many,,Astrocytes: 301.3;Langerhans cells: 424.1;NK-cells: 265.7;Oligodendrocytes: 485.9;Schwann cells: 248.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Colon - Smooth muscle cells, Prostate - Smooth muscle cells, Spleen - B-cells (Spleen)",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA019635, HPA019691, HPA022119, HPA067742",Enhanced,,Supported,"Vesicles,Plasma membrane",,,,,,,Cluster 42: Non-specific - Vesicular transport,Cluster 71: Thymus - Adaptive immune response,Cluster 6: Non-specific - Immune response,Cluster 55: Lymphoma - Immune response,Cluster 14: Langerhans cells - Innate immune response,24.0,Plasma membrane,Vesicles,"HPA019635: AB_2732423, HPA019691: AB_2670231, HPA022119: AB_2670897, HPA067742: ",unprognostic (3.58e-1),unprognostic (3.10e-2),unprognostic (1.65e-2),unprognostic (7.26e-4),unprognostic (3.07e-2),unprognostic (7.75e-2),unprognostic (1.59e-1),unprognostic (4.67e-2),unprognostic (1.89e-2),unprognostic (8.04e-2),unprognostic (2.12e-3),unprognostic (5.11e-2),unprognostic (1.08e-1),unprognostic (5.42e-2),unprognostic (1.46e-1),unprognostic (3.52e-2),unprognostic (1.78e-3),unprognostic (2.18e-2),unprognostic (1.69e-1),unprognostic (2.41e-2),unprognostic (1.16e-1),unprognostic (1.96e-1),unprognostic (1.82e-1),unprognostic (3.51e-1),unprognostic (1.80e-3),unprognostic (8.59e-2),unprognostic (2.96e-1),unprognostic (2.35e-2),unprognostic (1.94e-1),unprognostic (1.98e-2),unprognostic (1.07e-1),2,2,10
12368,PARVB,CGI-56,ENSG00000188677,Parvin beta,Q9HBI1,22,43999211-44172939,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Cell adhesion,Actin-binding,Cancer-related genes,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,skeletal muscle: 189.1;tongue: 164.1,Cell type enhanced,Detected in many,,dendritic cells: 158.9;Erythroid cells: 107.2;granulocytes: 120.7;Hofbauer cells: 87.4,Cell type enhanced,Detected in all,,endothelial cell: 188.8,Group enriched,Detected in all,4.0,Kidney Chromophobe (TCGA): 115.2;Skin Cuteneous Melanoma (TCGA): 103.7,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA003568, HPA072217",Enhanced,,Supported,"Plasma membrane,Actin filaments",,,,,,20000000.0,Cluster 10: Non-specific - Membrane trafficking,Cluster 19: Non-specific - Basic cellular processes,Cluster 40: Astrocytes - Astrocyte-neuron interactions,Cluster 14: Myeloid leukemia - Innate immune response,Cluster 57: Platelets - Hemostasis,8.0,"Plasma membrane, Actin filaments",,"HPA003568: , HPA072217: ",unprognostic (1.22e-2),unprognostic (9.39e-2),unprognostic (5.10e-2),unprognostic (4.09e-3),unprognostic (1.85e-1),unprognostic (1.52e-2),unprognostic (7.66e-3),unprognostic (2.50e-3),unprognostic (1.75e-3),unprognostic (4.79e-1),unprognostic (1.61e-2),unprognostic (4.97e-2),unprognostic (9.04e-2),unprognostic (7.33e-2),unprognostic (1.55e-1),unprognostic (1.51e-2),unprognostic (8.22e-2),unprognostic (1.64e-1),unprognostic (8.91e-3),unprognostic (5.72e-2),unprognostic (3.98e-2),unprognostic (4.31e-3),unprognostic (4.99e-3),unprognostic (1.43e-1),unprognostic (1.51e-1),unprognostic (1.07e-2),unprognostic (8.20e-2),unprognostic (4.64e-2),unprognostic (3.41e-2),unprognostic (4.57e-2),unprognostic (1.01e-1),2,2,10
1078,ARRB2,"ARR2, BARR2, DKFZp686L0365",ENSG00000141480,Arrestin beta 2,P32121,17,4710596-4721499,"Predicted intracellular proteins, Transporters","Protein transport, Transport",Signal transduction inhibitor,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 260.6;lymphoid tissue: 164.3,Cell type enhanced,Detected in many,,Hofbauer cells: 310.0;Kupffer cells: 221.1;Langerhans cells: 203.4;Macrophages: 221.1;monocytes: 389.0,Cell type enhanced,Detected in all,,central nervous system macrophage: 188.9,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Macrophages, Breast - Macrophages, Lung - Neutrophil_2, Minor Salivary Gland - Macrophages, Skeletal muscle - Macrophages, Spleen - Neutrophils",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA075177,,,Supported,"Nucleoplasm,Plasma membrane,Cytosol",,,,,,,Cluster 25: Non-specific - Unknown function,Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response,Cluster 20: Macrophages & Microglia - Immune response,Cluster 14: Myeloid leukemia - Innate immune response,Cluster 29: Monocytes - Innate immune response,112.0,"Plasma membrane, Cytosol",Nucleoplasm,HPA075177: ,unprognostic (3.00e-2),unprognostic (1.13e-1),unprognostic (6.24e-2),unprognostic (1.71e-2),unprognostic (4.53e-2),unprognostic (1.75e-1),unprognostic (2.33e-3),unprognostic (4.53e-2),unprognostic (4.37e-2),unprognostic (1.50e-2),unprognostic (2.48e-2),unprognostic (3.62e-1),unprognostic (1.73e-2),unprognostic (2.48e-4),unprognostic (2.43e-1),unprognostic (3.32e-4),unprognostic (2.70e-1),unprognostic (1.05e-2),unprognostic (2.99e-1),unprognostic (5.20e-2),unprognostic (3.14e-3),unprognostic (1.36e-2),unprognostic (2.82e-1),unprognostic (4.82e-3),unprognostic (5.30e-1),unprognostic (7.22e-2),unprognostic (1.70e-1),unprognostic (1.38e-1),unprognostic (2.66e-2),unprognostic (9.00e-2),unprognostic (2.00e-2),2,2,10
1082,ARRDC4,FLJ36045,ENSG00000140450,Arrestin domain containing 4,Q8NCT1,15,97960703-97973833,Predicted intracellular proteins,,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,brain: 74.4,Cell type enhanced,Detected in many,,Distal enterocytes: 56.7,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Group enriched,Detected in many,5.0,basophil: 1.1;classical monocyte: 2.5;eosinophil: 1.5;intermediate monocyte: 1.7;myeloid DC: 1.1;neutrophil: 1.4,Group enriched,Detected in many,8.0,dendritic cells: 1.1;granulocytes: 1.5;monocytes: 2.5,Low cancer specificity,Detected in many,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA039934, HPA042109",Approved,,Supported,"Vesicles,Plasma membrane",,,,,,,Cluster 29: Non-specific - Unknown function,Cluster 9: Oligodendrocytes - Myelination,Cluster 22: Non-specific - Mixed function,Cluster 53: Squamous epithelial cells - Keratinization,Cluster 58: Macrophages - Innate immune response,4.0,Plasma membrane,Vesicles,"HPA039934: , HPA042109: AB_10795606",unprognostic (5.10e-2),unprognostic (9.16e-2),unprognostic (7.59e-3),unprognostic (1.40e-2),unprognostic (2.54e-2),unprognostic (9.06e-2),unprognostic (1.98e-3),unprognostic (1.59e-4),unprognostic (9.36e-2),unprognostic (3.82e-1),unprognostic (9.08e-3),unprognostic (4.46e-1),unprognostic (9.68e-2),unprognostic (9.26e-3),unprognostic (5.28e-8),unprognostic (2.35e-1),unprognostic (1.45e-1),unprognostic (1.46e-1),unprognostic (1.40e-1),unprognostic (1.26e-1),unprognostic (1.94e-1),unprognostic (3.06e-2),unprognostic (1.06e-3),unprognostic (4.43e-3),unprognostic (1.55e-1),unprognostic (1.18e-1),unprognostic (1.05e-1),unprognostic (4.23e-2),unprognostic (9.62e-2),unprognostic (1.62e-2),unprognostic (8.47e-2),2,2,10
1026,ARL4C,"ARL7, LAK",ENSG00000188042,ADP ribosylation factor like GTPase 4C,P56559,2,234493041-234497081,Predicted intracellular proteins,Transport,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,bone marrow: 64.0;lymphoid tissue: 72.0,Cell type enhanced,Detected in many,,dendritic cells: 389.7;granulocytes: 493.6;Langerhans cells: 515.5;NK-cells: 813.7;Schwann cells: 431.8;T-cells: 446.5,Cell type enhanced,Detected in many,,CGE interneuron: 271.4;LAMP5-LHX6 and Chandelier: 266.9;leukocyte: 245.6,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Cancer enhanced,Detected in all,,Kidney cancer: 169.9,Thyroid gland - T-cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA028927,Uncertain,,Supported,"Plasma membrane,Cytosol",,,,,,,Cluster 3: Non-specific - Nuclear processes,Cluster 70: Lymphoid tissue - Immune response,Cluster 23: Choroid plexus - Mixed function,Cluster 15: Kidney cancer - Membrane components,Cluster 78: NK-cells & T-cells - Immune system & Transcription,8.0,Plasma membrane,Cytosol,HPA028927: AB_10602387,unprognostic (2.06e-1),unprognostic (3.09e-2),unprognostic (8.23e-2),unprognostic (1.69e-1),unprognostic (1.30e-2),unprognostic (4.97e-2),unprognostic (1.79e-2),unprognostic (3.00e-4),unprognostic (7.75e-2),unprognostic (5.95e-2),unprognostic (2.91e-4),unprognostic (3.39e-3),unprognostic (1.30e-3),unprognostic (8.62e-2),unprognostic (1.08e-1),unprognostic (1.05e-2),unprognostic (6.58e-3),unprognostic (2.33e-1),unprognostic (1.03e-1),unprognostic (1.35e-2),unprognostic (3.41e-1),unprognostic (4.33e-3),unprognostic (3.25e-2),unprognostic (1.35e-1),unprognostic (1.33e-3),unprognostic (1.61e-2),unprognostic (3.00e-1),unprognostic (6.96e-2),unprognostic (9.67e-2),unprognostic (6.62e-2),unprognostic (1.02e-1),2,2,10
3202,CLIC4,"CLIC4L, DKFZP566G223, H1, huH1, P64H1",ENSG00000169504,Chloride intracellular channel 4,Q9Y696,1,24745382-24844321,"Predicted intracellular proteins, Transporters","Ion transport, Transport","Chloride channel, Ion channel, Oxidoreductase, Voltage-gated channel",,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Cardiomyocytes: 232.3;Extravillous trophoblasts: 235.5;Proximal tubular cells: 314.3;Schwann cells: 290.9,Cell type enhanced,Detected in all,,endothelial cell: 719.9;oligodendrocyte: 290.2;vascular associated smooth muscle cell: 335.8,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in many,,memory B-cell: 13.5;naive B-cell: 11.9,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Prostate - Smooth muscle cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Spleen - Fibroblast_1",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA008019, HPA060804",Enhanced,,Supported,"Plasma membrane,Centrosome,Calyx,Connecting piece,Principal piece",,,,,,7400000.0,Cluster 23: B-cells - Immunoglobulins,Cluster 62: Connective tissue - ECM organization,Cluster 13: Oligodendrocytes - Mixed function,Cluster 64: Connective tissue cells - ECM organization,Cluster 32: Smooth muscle cells - Muscle contraction,7.0,"Plasma membrane, Centrosome","Calyx, Connecting piece, Principal piece","HPA008019: AB_1846946, HPA060804: AB_2684370",unprognostic (2.34e-1),unprognostic (2.63e-2),unprognostic (1.27e-2),unprognostic (1.22e-2),unprognostic (2.43e-1),unprognostic (7.33e-2),unprognostic (1.17e-1),unprognostic (1.84e-1),unprognostic (2.73e-1),unprognostic (5.81e-3),unprognostic (1.76e-7),unprognostic (3.60e-2),unprognostic (2.00e-3),unprognostic (5.16e-3),unprognostic (8.12e-2),unprognostic (3.95e-2),unprognostic (8.91e-4),unprognostic (4.82e-3),unprognostic (1.05e-1),unprognostic (3.38e-3),unprognostic (1.06e-2),unprognostic (8.30e-3),unprognostic (3.30e-2),unprognostic (1.11e-1),unprognostic (1.25e-1),unprognostic (1.37e-1),unprognostic (2.73e-2),unprognostic (8.47e-4),unprognostic (3.93e-1),unprognostic (3.07e-3),unprognostic (1.05e-1),2,2,10
